id,x,y,ra,dec,r2,flag,u,g,r,i,z,uerr,gerr,rerr,ierr,zerr,e(b-v),u(SExflag),g(SExflag),r(SExflag),i(SExflag),zflag
130315,984.99,11541.82,34.9502575,-4.1035508,8.49,8,15.2628,14.6427,14.2757,14.2394,14.0198,2.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0206,0,0,0,0,-32768
134456,17009.51,11515.76,34.1202111,-4.1049336,6.07,8,15.8174,15.3514,14.8983,14.9183,14.524,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0216,2,2,2,2,-32768
137533,7185.56,12059.93,34.6290762,-4.0768976,8.65,8,15.6094,14.8382,14.2998,14.197,13.9072,3.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0207,2,3,2,2,-32768
139333,15122.18,12390.91,34.2179872,-4.0597583,10.21,8,16.5227,15.217,14.1717,13.8711,13.3709,5.0E-4,2.0E-4,1.0E-4,1.0E-4,1.0E-4,0.0225,0,0,0,0,-32768
141507,1205.65,12314.53,34.9388059,-4.0636349,6.01,8,15.542,15.2203,14.8491,14.8384,14.4307,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0213,2,2,2,2,-32768
142263,8259.76,12283.14,34.5734342,-4.0653724,6.71,8,17.7396,15.7845,14.9595,14.6046,14.0857,9.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0214,0,0,0,1,-32768
144735,4624.19,12730.89,34.7617363,-4.0422001,6.55,8,15.3887,15.061,14.6841,14.6566,14.316,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0221,0,0,0,0,-32768
145615,17728.55,12593.93,34.0829969,-4.0492113,5.41,8,15.5735,15.1927,14.8385,14.8581,14.4405,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.0209,0,0,0,0,-32768
147345,6973.96,12806.54,34.6400297,-4.0383213,6.62,8,15.5922,15.0703,14.6858,14.6451,14.2496,3.0E-4,2.0E-4,2.0E-4,2.0E-4,2.0E-4,0.021,2,2,2,3,-32768
147697,11760.18,12726.74,34.3921272,-4.042449,8.12,8,15.3547,14.8333,14.4025,14.3057,14.0176,3.0E-4,1.0E-4,1.0E-4,1.0E-4,2.0E-4,0.0234,2,2,2,2,-32768
