CATAID,COSMOS_ID_06,COSMOS_ID_08,COSMOS_ID_13,RA,DEC,r_mag
6338240,2380919,1481599.0,253700.0,149.944924333404,2.51889146617996,14.474800458733988
6338171,2380349,1482676.0,251841.0,149.899492342483,2.51183042092208,14.673931372169008
6338087,2379793,1482533.0,252669.0,150.032996302967,2.51442733153556,14.416725745110767
6337796,0,1480268.0,256737.0,149.92045607195,2.52940261257451,14.440385578757315
6334940,0,1468497.0,278736.0,150.032260836708,2.61279431185751,14.095008784979356
6334015,2351378,1464614.0,242291.0,150.185941953751,2.47456410569975,14.920796923847881
6333430,0,1461666.0,245978.0,150.18528396061,2.4945491072369,14.02576970621076
6333114,2343748,1459373.0,251751.0,150.121971944476,2.50970617674454,14.805014961574479
6332744,2340970,1458271.0,253412.0,150.187866434124,2.51841386992352,14.44181534796651
6331828,0,1454010.0,262660.0,150.169649082195,2.54637079033126,14.401377434654073
6331325,0,1450710.0,267950.0,150.134958344431,2.56863101276224,14.27349860714451
6331279,0,1451026.0,266402.0,150.180478249239,2.56374495208386,14.050568953631746
6330627,2326074,1448015.0,273842.0,150.078496187296,2.585395873205,14.773936514681061
6330436,2324829,1447155.0,276234.0,150.124031279732,2.59214243313118,14.861891482034615
6330063,0,1446048.0,278356.0,150.157258060088,2.59911594903109,14.77387859128499
6329972,-9999,-9999.0,276231.0,150.115409552399,2.60057891628478,14.05744103455514
6329677,0,1444177.0,279104.0,150.2078863339,2.61211912505198,14.233916914807985
6329283,-9999,-9999.0,-9999.0,150.189764679558,2.62513577700413,14.993652291421768
6326537,0,1432119.0,257624.0,150.307842579923,2.53061572136569,14.5004127201613
6326282,2297734,1431384.0,260199.0,150.245161703223,2.5380300687597,14.636107753674416
6326052,0,1430480.0,260737.0,150.375946426139,2.54334968995024,14.217760073977416
6325833,0,1429606.0,264059.0,150.301653744899,2.55121814399258,14.709530837132569
6325387,0,1427413.0,267898.0,150.321430000985,2.56520143337613,14.585226150112533
6325032,2288733,1424138.0,273892.0,150.385699123556,2.58408471358741,14.415873460868696
6324844,0,1424148.0,273305.0,150.294264023489,2.5858994466883,14.227144310380083
6321603,0,1413728.0,246168.0,150.453854699273,2.49622203710905,14.173230572497282
6320856,0,1409356.0,255969.0,150.482022667692,2.52483734874341,14.462470024404297
6320029,0,1405736.0,261945.0,150.430080931553,2.54782636419316,14.939666922304646
6319044,2249987,1401917.0,272432.0,150.497054497443,2.57499026640882,14.989571005741837
6318968,0,1399980.0,273073.0,150.520729427885,2.587444624151,14.041772042035
6318386,-9999,-9999.0,271672.0,150.402618810433,2.58435297666619,14.01775466799534
6318191,0,1398612.0,276456.0,150.413327798924,2.59740948617527,14.318931244092838
6317902,0,1398251.0,275944.0,150.477875135122,2.60002703695307,14.145085801218116
6316166,2231387,1390382.0,244834.0,150.580543479345,2.48861556868455,14.792428884652644
6313703,0,1384476.0,257680.0,150.6296348761,2.53296409650461,14.162567058116785
6312922,0,1381154.0,264999.0,150.648476151816,2.55672047037558,14.23812968242386
6311608,2202384,1374529.0,279442.0,150.598912034726,2.60319862522497,14.786998595370903
6307056,0,1340647.0,191560.0,149.559810861783,2.31035166397043,14.342862907573057
6301312,0,1313075.0,198465.0,149.666028559336,2.33431331838853,14.262373759187952
6300934,0,1310334.0,202889.0,149.645318686556,2.35040399602727,14.3716346761435
6300248,0,1307812.0,209267.0,149.623014519312,2.37012534762351,14.142772522950118
6298579,0,1305097.0,216107.0,149.715785105226,2.3899663829111,14.130068221432246
6295389,0,1291279.0,192343.0,149.802499547081,2.318548653377,14.946244714828943
6294499,0,1287072.0,201355.0,149.853719215381,2.34602742115338,14.325845994096142
6293870,0,1282675.0,210083.0,149.773709603871,2.37311904336195,14.212851610104806
6290081,0,1269061.0,186818.0,149.920742879367,2.3029828841238,14.141060732738168
6289844,0,1269243.0,189491.0,149.901655894536,2.30376865279424,14.47073431397029
6288437,0,1262694.0,203289.0,150.048606825729,2.35217909758591,14.270290931418742
6288331,0,1261114.0,205006.0,150.058572606724,2.3573707045286,14.28439590679833
6288327,0,1261887.0,203153.0,149.895037495832,2.35150374690674,14.16126086604335
6285498,0,1247956.0,232839.0,150.011964678376,2.44498106521529,14.845433551920088
6284873,0,1269782.0,188280.0,149.953819457803,2.30114306279691,14.418924820744586
6284533,0,1244905.0,189140.0,150.064588698838,2.30049067594687,14.644719500604815
6283909,0,1240154.0,196830.0,150.07660860341,2.33054417464457,14.397600990418582
6283140,0,1237382.0,202223.0,150.132756552299,2.34796532101246,14.3140189595781
6283133,0,1238321.0,200451.0,150.133836448565,2.34339103632267,14.634198134251434
6281955,0,1231899.0,216124.0,150.136823614305,2.38755263720936,14.594138218634853
6280968,1970807,1228262.0,223543.0,150.227459869195,2.41353127862668,14.739584329182357
6280523,1966780,1225188.0,227093.0,150.205411628016,2.43086305766594,14.067694317901314
6280100,0,1223587.0,231874.0,150.218706533559,2.4442034111016,14.354702849192215
6277383,1941977,1208362.0,211663.0,150.260143153686,2.37481507694337,14.526544015449687
6276934,0,1206678.0,216560.0,150.247561612741,2.38970850270497,14.596545881623008
6274626,1923608,1221627.0,236999.0,150.307014857475,2.45863076363013,14.748770203458776
6274513,0,1197600.0,235896.0,150.260529792973,2.45737070502332,14.431076259744557
6273787,0,1195646.0,186869.0,150.419927886478,2.30398486883752,14.753893583523315
6272926,1913779,1193816.0,192484.0,150.556990573101,2.31968308719833,14.205524329491013
6271137,0,1186314.0,210776.0,150.482003331074,2.37171324087932,14.434455986206139
6270859,1899669,1184632.0,209945.0,150.532738511153,2.3763057814294,14.6898937646775
6268882,1887863,1176748.0,223098.0,150.425499918812,2.41364848775189,14.300269447818295
6267241,0,1170312.0,194058.0,150.646642593597,2.31987538387956,14.228252659434666
6262492,1843578,1173693.0,187860.0,150.60044381693,2.29761015025568,14.75661453545441
6253933,1758364,1093310.0,139168.0,149.625182574214,2.135158616758,14.903118386224072
6253772,1757218,1093216.0,138437.0,149.638374136091,2.13541584841022,14.577894827821218
6253618,1756040,1092397.0,140370.0,149.604957892191,2.14116169648314,14.939822540442755
6253349,0,1091459.0,139458.0,149.628231569216,2.14708886239704,14.257985956278816
6253216,0,1089823.0,143766.0,149.632784460717,2.1582872902273,14.363032216894204
6252363,0,1087224.0,149658.0,149.636879603752,2.1736276267461,14.458095089295348
6252175,1745993,1086258.0,150656.0,149.677587329963,2.18215467117495,14.666188011058473
6251906,0,1084981.0,152661.0,149.665129246538,2.18889410028018,14.062182190338447
6251375,0,1083114.0,157263.0,149.702718914643,2.20257996143331,14.715812710425446
6251288,1739333,1082597.0,159650.0,149.595071018836,2.20576475607945,14.74449939095556
6251235,1739136,1082559.0,160105.0,149.72658463219,2.20576510512898,14.923128480347316
6249968,0,1077286.0,169646.0,149.65888115927,2.23899310719502,14.522725084313898
6249915,0,1077496.0,169805.0,149.597529241531,2.23862120767787,14.631719963641267
6249530,1727261,1075196.0,175292.0,149.642049605066,2.25379901464939,14.992822941321322
6249438,0,1074971.0,173874.0,149.607970979901,2.25565459537586,14.430210655506833
6249220,1725181,1073905.0,177971.0,149.583279723097,2.26250626445418,14.821004661965986
6248856,1722652,1072423.0,180521.0,149.611657109037,2.27188999194251,14.74637885185711
6248386,1718670,1093949.0,137486.0,149.711695553245,2.13107657247934,14.90719476004005
6247805,0,1066403.0,141729.0,149.733075753616,2.14405549426364,14.890158626029546
6246474,0,1058622.0,154853.0,149.879886363568,2.19346826764695,14.356062675754927
6246166,1701498,1058947.0,156460.0,149.739515753206,2.19360175281483,14.945908699064766
6245853,0,1055259.0,160962.0,149.817216827591,2.21304195041032,14.398185412740908
6245543,1696201,1055361.0,163608.0,149.745797275154,2.21655501275744,14.904027746191169
6244599,1687603,1049755.0,174253.0,149.748771892471,2.25142689708054,14.099945652449605
6244250,0,1048829.0,175118.0,149.777164530067,2.26097187358103,14.299086143466603
6242805,1674608,1041780.0,139396.0,150.027990360235,2.13996885649324,14.664751441326693
6242338,1671522,1039610.0,135952.0,149.990282202524,2.14983770430652,14.322548617433362
6241336,1664831,1035704.0,153171.0,150.043944278413,2.18310720300229,14.854384510453144
6240659,0,1033107.0,157771.0,150.048984708287,2.19963052312743,14.456739133753466
6240631,1658737,1035013.0,154217.0,150.046560869697,2.18833955557634,14.870851628454062
6240078,0,1029534.0,161353.0,150.006146761717,2.22238093913208,14.20481564088967
6238650,0,1021851.0,179400.0,150.045627731789,2.27293718382063,14.072346923650507
6237334,0,1015294.0,138746.0,150.126201651681,2.15219498142065,14.064400561810295
6237273,0,1015091.0,141629.0,150.061366000248,2.15268884099357,14.085888351548114
6237235,0,1014851.0,141963.0,150.110813248131,2.15388829677489,14.333195573937331
6237120,1631266,1011776.0,147406.0,150.184069411236,2.16341259680558,14.878695381797051
6236964,1629939,1012518.0,148102.0,150.150403399197,2.17022771514863,14.842463351762753
6236814,1628572,1012593.0,149212.0,150.109914575032,2.16986546521345,14.419139331141281
6236475,1625115,1009846.0,152850.0,150.110627750343,2.18779023024008,14.336979226793844
6236325,1623827,1009961.0,154481.0,150.218843461457,2.18803781592948,14.725110256054997
6236202,0,1009569.0,154302.0,150.135948264731,2.18961262280001,14.376699536351651
6235738,1619869,1006896.0,159180.0,150.200016582067,2.20934335308002,14.333198414066153
6235343,1617199,1004938.0,164557.0,150.076080005177,2.2203161898553,14.819010965981796
6235236,1616325,1005032.0,164232.0,150.143595549206,2.21846775495571,14.913458323886836
6234934,0,1003496.0,167109.0,150.104031807332,2.2279245857655,14.887511487645874
6234716,1612050,1002390.0,169582.0,150.150215206123,2.23617169114179,14.904891888341744
