USNO-B1.0|RAJ2000|DEJ2000|e_RAJ2000|e_DEJ2000|Epoch|pmRA|pmDE|Ndet|B1mag|R1mag|B2mag|R2mag|Imag
0613-0036354|052.403675|-28.687567|353|999|1983.6|   -46|  -292|4|     |19.99|18.75|19.85|18.14
0613-0036355|052.407228|-28.686873| 97|370|1984.3|   334|  -144|3|     |20.19|     |19.80|18.27
0613-0036356|052.412537|-28.648598| 25| 41|1983.6|    10|    -8|4|     |18.74|20.27|19.49|18.60
0613-0036357|052.413803|-28.622925| 42|104|1978.1|     0|     0|5|20.25|17.99|19.57|18.05|17.79
0613-0036358|052.414020|-28.659845|999|999|1976.4|     0|     0|2|     |19.18|     |19.60|
0613-0036359|052.414539|-28.632212|396|333|1984.3|   298|   116|3|     |20.16|     |19.87|18.70
0613-0036360|052.414873|-28.661773| 92|159|1978.1|   -12|     8|5|19.84|18.19|18.92|17.60|17.73
0613-0036361|052.419670|-28.662248|223|999|1984.3|   -48|   508|3|     |19.43|     |19.83|18.46
0613-0036362|052.419698|-28.661570| 48| 84|1989.3|     0|     0|2|     |     |20.25|19.82|
0613-0036363|052.421664|-28.630595| 75| 80|1978.1|     0|     0|5|19.08|17.64|18.78|17.79|17.51
0613-0036364|052.422117|-28.676873| 55|178|1983.6|     0|     0|4|     |19.79|20.17|19.48|18.38
0613-0036365|052.423103|-28.689470|236|779|1990.8|     0|     0|2|     |     |20.10|     |17.97
0613-0036366|052.423359|-28.691098| 53| 68|1978.1|    12|    12|5|15.12|13.93|14.87|14.23|13.63
0613-0036367|052.428109|-28.682784|111| 94|1978.1|     0|     0|5|20.16|19.44|19.34|18.74|18.27
0613-0036368|052.430970|-28.627848|184|404|1992.8|     0|     0|3|     |     |19.67|19.86|18.72
0613-0036369|052.431039|-28.665434|999|999|1978.2|  -270|  -116|3|20.56|     |19.57|19.83|
0613-0036370|052.435320|-28.654153|999|999|1983.6|  -324|  -210|4|     |20.00|20.26|19.46|18.72
0613-0036371|052.435659|-28.664473|937|268|1983.6|     0|     0|4|20.64|     |20.26|19.36|18.56
0613-0036372|052.437550|-28.659795|636|999|1976.4|     0|     0|2|     |19.62|     |19.83|
0613-0036373|052.440523|-28.694184| 57|255|1998.4|     0|     0|2|     |     |     |19.85|18.51
0613-0036374|052.445725|-28.648817| 65|637|1983.6|     0|     0|4|     |19.21|20.25|19.65|18.72
0613-0036375|052.446225|-28.697650| 23|  1|1984.3|   -74|  -106|3|23.63|     |     |19.84|18.67
0613-0036376|052.447248|-28.614053|384| 92|1992.8|     0|     0|3|     |     |20.27|19.85|18.66
0613-0036377|052.450192|-28.606212|999|999|1990.8|     0|     0|2|     |     |20.24|     |18.14
0613-0036378|052.454187|-28.695042|125| 69|1983.6|   -20|    -2|4|     |19.09|20.17|19.09|18.53
0613-0036379|052.459039|-28.636525|381| 15|1990.8|     0|     0|2|     |     |19.14|     |18.61
0613-0036380|052.464634|-28.663389|842|999|1968.8|     0|     0|2|     |19.84|19.75|     |
0613-0036381|052.464725|-28.624359|193|170|1989.3|     0|     0|2|     |     |20.05|19.86|
0613-0036382|052.469125|-28.643148| 35|569|1998.4|     0|     0|2|     |     |     |19.71|17.76
0613-0036383|052.473062|-28.630987|267|429|1989.3|     0|     0|2|     |     |20.09|19.87|
0613-0036384|052.474125|-28.665770| 73|161|1978.1|   -10|    -8|5|20.30|17.72|19.39|18.00|17.23
0613-0036385|052.475445|-28.646664|131|104|1989.3|     0|     0|2|     |     |20.24|19.81|
0613-0036386|052.484864|-28.697425|999|999|1955.9|     0|     0|2|20.44|19.71|     |     |
0613-0036387|052.492114|-28.619545|999|999|1992.8|     0|     0|3|     |     |20.23|19.59|18.47
0613-0036388|052.492500|-28.636559|106| 83|1978.1|     0|     0|5|19.39|18.13|17.87|18.03|17.69
0613-0036389|052.492725|-28.677225|183|472|1978.2|     0|     0|3|     |19.50|20.04|19.87|
0613-0036390|052.492912|-28.630445| 89|318|1992.8|     0|     0|3|     |     |20.26|19.86|18.67
0613-0036391|052.499092|-28.690362| 64|  4|1978.2|    28|    -8|3|     |19.66|20.01|19.74|
0613-0036392|052.499784|-28.688467|276|999|1977.9|     0|     0|2|23.68|     |     |     |18.00
0613-0036393|052.499912|-28.641414|287|171|1984.3|  -288|  -134|3|23.48|     |     |19.86|18.61
0613-0036394|052.500537|-28.692739|200|166|1983.6|     0|     0|4|     |19.27|19.97|19.24|18.56
0613-0036395|052.500837|-28.666092|999|999|1973.3|  -312|    12|4|20.88|19.90|19.67|     |18.72
0613-0036396|052.501981|-28.698723|101| 95|1978.1|     0|   -14|5|18.59|18.00|18.17|18.07|17.83
0613-0036397|052.503020|-28.696817|280| 29|1989.3|     0|     0|2|     |     |19.57|19.66|
0613-0036398|052.505712|-28.699948|155| 74|1992.8|     0|     0|3|     |     |20.27|19.59|18.71
0613-0036399|052.509084|-28.655753|999|699|1983.6|   -76|   -92|4|     |18.52|20.21|19.43|18.70
0613-0036400|052.509267|-28.655442|647|133|1984.3|  -230|   -30|3|     |19.53|     |18.91|18.10
0613-0036401|052.509734|-28.634506|  4|999|1976.4|     0|     0|2|24.09|     |     |19.83|
0613-0036402|052.510100|-28.654984|960|580|1977.9|     0|     0|2|     |18.81|     |     |17.69
0613-0036403|052.510659|-28.654639|102|513|1978.1|   -22|   -14|5|20.78|18.82|19.99|17.54|17.13
0613-0036404|052.511198|-28.654664|999|640|1976.4|     0|     0|2|     |18.50|     |19.29|
0613-0036405|052.512239|-28.638434|653|782|1964.5|   374|  -180|3|20.78|20.22|20.24|     |
0613-0036406|052.513262|-28.664631|999|999|1983.6|   234|   154|4|     |19.99|19.88|19.47|18.69
0613-0036407|052.513617|-28.654123|402|258|1992.8|     0|     0|3|     |     |20.23|19.44|18.69
0613-0036408|052.514589|-28.679975|999|999|1978.2|  -176|  -142|3|     |19.79|20.22|19.84|
0613-0036409|052.516195|-28.608712|104|250|1983.6|     0|     0|4|20.06|     |19.52|19.83|18.70
0613-0036410|052.518303|-28.655123|278|116|1983.6|     0|     0|4|     |19.54|20.27|19.37|18.67
0613-0036411|052.518498|-28.662459|  1| 99|1984.3|    -2|     4|3|     |17.05|     |16.57|16.55
0613-0036412|052.519095|-28.661928|539|999|1977.9|     0|     0|2|20.20|     |     |     |18.69
0613-0036413|052.524256|-28.666450| 99| 91|1978.1|     0|     0|5|16.37|15.33|16.45|15.69|15.24
0613-0036414|052.524662|-28.653825|999|999|1979.1|    56|  -236|3|20.80|     |20.26|     |18.71
0613-0036415|052.526345|-28.697303| 39| 10|1998.4|     0|     0|2|     |     |     |19.87|18.72
0613-0036416|052.526731|-28.638075|319|999|1984.3|   122|  -360|3|20.88|     |     |19.86|18.25
0613-0036417|052.528831|-28.655575|999|543|1979.1|   394|  -372|3|23.38|     |19.79|     |18.22
0613-0036418|052.529650|-28.645345| 20|104|1978.1|     4|     2|5|15.21|14.03|14.99|14.32|13.76
0613-0036419|052.532875|-28.653475|999|999|1977.9|     0|     0|2|23.69|     |     |     |18.33
